student_name,date_of_birth,state,mobile_number,email,gpa
"""John Bhoj""",07251996,AX,+11127978094,chris.davis@outlook.com,3.18
"""Aarav Davis""",'09-25-2005 00:00:00',FL,199-467-6635,michaelsmith@school.edu,
"""Neha Johnson""",07-22-1997 00:00:00,HI,+12566942273,emily_patel@outlook.com,3.85
Chris Johnson,'09142003',California,8110054933,ananya_patel@yahoo.com,
Neha Davis,"""06/17/1997""",CALIFORNIA,15567816720,khushismith@school.edu,
Michael Patel,10-27-2004 00:00:00,,7867414708,,
'Emily Bhoj','05122001',WA,13361388464,chris.sharma@yahoo.com,2.68
"""Chris Johnson""",'12092002',California,3315992115,ananya.davis@gmail.com,
"""Michael Sharma""",'04302002',MI,12926780541,johnsharma@gmail.com,2.1
'John Johnson','061200',fl,6520103410,raj.johnson@gmail.com,2.11
Ananya Wilson,"""08211995""",AL,791-982-4853,nehagupta@school.edu,2.41
'Sophia Johnson',06-20-1996 00:00:00,AL,109-569-2638,sophia.kumar@outlook.com,3.41
Chris Bhoj,"""06132005""",NY,+16464693977,raj_wilson@school.edu,3.81
'Michael Kumar',"""09/28/1998""",NJ,3373077218,,2.62
Sophia Johnson,121998,TX,+19080621072,john.davis@outlook.com,
Sophia Kumar,07021997,Texas,11118543408,,
"""Michael Gupta""",'02/01/2005',FLORIDA,12852408227,johnkumar@school.edu,2.65
'Raj Wilson',091999,DC,6679017210,emily_wilson@yahoo.com,2.57
'Neha Brown',"""09/04/2005""",NH,+15607762160,,3.38
'Michael Johnson','092805',TX,17228002201,chrissharma@yahoo.com,
Emily Kumar,'11/27/1995',FL,7625464411,,2.78
"""Khushi Gupta""",12-11-1998 00:00:00,Florida,6467215542,,
Aarav Sharma,12272000,ca,+12982979741,sophia_davis@outlook.com,2.5
Chris Bhoj,04162002,ca,5070585433,sophiapatel@gmail.com,
'John Gupta',070198,AL,14361393222,,
Sophia Sharma,03-25-2003 00:00:00,nc,8518238399,ananya.brown@outlook.com,
"""Raj Gupta""",'02/11/1995',Florida,600-668-4937,michael_johnson@school.edu,
Chris Brown,'06-09-1998 00:00:00',NH,11822662216,chris_gupta@gmail.com,
'Aarav Kumar','12/27/2000',CALIFORNIA,6516195409,aarav_bhoj@outlook.com,
"""John Gupta""",'09-03-1996 00:00:00',TX,17196439534,khushigupta@gmail.com,3.9
'Raj Smith','12121996',Florida,8331319481,,2.53
Neha Johnson,04/06/2002,AL,7614170462,,
'Neha Kumar',07261997,Texas,7808938880,ananya_brown@school.edu,2.64
"""Sophia Davis""",080705,NC,7625389037,,
'Ananya Bhoj',02/27/2001,WA,+14048494026,john.sharma@yahoo.com,3.43
Raj Davis,092597,,17475684019,nehagupta@outlook.com,
Sophia Brown,02-09-2000 00:00:00,TX,685-492-4826,,3.93
Ananya Smith,02/07/2003,New York,8953271391,ananya.wilson@gmail.com,
"""Emily Smith""",02082002,ca,1625217504,aarav.patel@gmail.com,2.77
"""Emily Sharma""",03-03-2000 00:00:00,NC,17818568548,michael.sharma@yahoo.com,
Raj Bhoj,01291998,CALIFORNIA,5464285982,,
'Sophia Davis',06-25-1996 00:00:00,NEW YORK,+19033293776,michael_wilson@gmail.com,2.03
John Sharma,120997,HI,9861449701,raj.davis@yahoo.com,
'John Smith',01/10/2001,Florida,8875651818,rajbhoj@school.edu,2.43
Sophia Smith,'02-10-2005 00:00:00',Texas,+19983668939,emilysmith@yahoo.com,3.17
Sophia Patel,02/09/1998,SC,212-776-1422,khushipatel@outlook.com,
"""Ananya Brown""","""08/25/2000""",DC,569-758-1510,sophia.gupta@gmail.com,3.25
Chris Brown,042298,NY,7072283057,john_brown@school.edu,3.33
'Ananya Smith',12161995,MN,18517413631,sophiasmith@yahoo.com,2.31
Sophia Wilson,06/09/2001,ca,18569491238,,
John Patel,01/11/1996,NEW YORK,13653594796,michaelsharma@outlook.com,2.43
"""John Brown""",081102,OH,504-713-1897,michael.patel@outlook.com,2.46
Sophia Smith,"""11221999""",CO,2394868732,sophia_smith@gmail.com,3.18
John Davis,"""06-26-1997 00:00:00""",NY,+16795522649,aarav.gupta@gmail.com,
Ananya Gupta,05-13-2005 00:00:00,New York,6628158856,,2.57
John Gupta,07052001,NH,15113386226,johnwilson@yahoo.com,
Chris Wilson,04-17-2005 00:00:00,CALIFORNIA,19995834531,neha_patel@gmail.com,
'Raj Davis',12132002,MI,932-230-9624,aarav_johnson@outlook.com,2.38
"""John Kumar""",08242003,ny,+11696846464,nehakumar@outlook.com,
Emily Brown,121099,,12073755632,john.wilson@school.edu,
"""Chris Patel""",03/18/2005,ca,16307626407,sophiasmith@school.edu,
Ananya Patel,"""11252001""",IL,955-253-9991,,
John Smith,01042001,New York,12789144223,,3.01
Chris Bhoj,"""021602""",ca,465-907-2106,sophiapatel@outlook.com,3.96
Aarav Smith,'06-01-1995 00:00:00',NH,+17508522951,khushi_brown@gmail.com,
"""Ananya Davis""",100502,Texas,14531928910,,
'Neha Davis',12-24-1999 00:00:00,VA,1133747952,,
"""Sophia Davis""",092096,AL,687-240-9674,ananya_wilson@gmail.com,
'Emily Gupta','041105',ny,15283209430,chris_wilson@school.edu,3.42
"""Aarav Brown""",'04/03/1997',WA,+14797809576,john_sharma@school.edu,3.66
"""Neha Patel""",08212000,DC,15633668009,johnwilson@yahoo.com,3.18
Neha Gupta,'06181995',tx,+15425044246,michael_kumar@gmail.com,
'Ananya Sharma',10/20/2001,VA,5821194895,john_bhoj@outlook.com,3.73
"""Sophia Gupta""",101496,DC,+19354711271,khushi_bhoj@outlook.com,3.69
Ananya Kumar,11/01/1999,fl,2239534867,chriskumar@gmail.com,
Sophia Wilson,"""032697""",ny,2368076065,raj_gupta@outlook.com,3.42
Sophia Brown,07-18-2001 00:00:00,ca,+13480920839,neha.davis@yahoo.com,2.06
Emily Bhoj,08/19/1999,nc,7703957637,sophia_patel@school.edu,3.35
Raj Gupta,'02-16-1998 00:00:00',DC,17355707297,,
'Sophia Patel',03241998,tx,+17608141858,chrisjohnson@yahoo.com,2.83
"""Ananya Smith""",10/25/2005,nc,4957687327,aarav_bhoj@outlook.com,
'Khushi Bhoj',10042001,NC,+15031086659,raj.patel@school.edu,3.58
Aarav Gupta,"""041004""",HI,16415031531,rajgupta@gmail.com,2.52
"""Khushi Smith""",09-11-2002 00:00:00,TEXAS,7896596272,ananyawilson@yahoo.com,3.36
John Wilson,'11161995',,307-686-9792,ananya_bhoj@yahoo.com,3.03
Chris Sharma,'033195',CA,863-323-2196,ananya_bhoj@outlook.com,2.27
Michael Brown,100104,ny,769-980-6697,ananya_wilson@outlook.com,
'Aarav Kumar','10242004',Florida,3550970716,khushijohnson@gmail.com,2.8
"""Khushi Patel""",02-24-2004 00:00:00,CO,+13238756255,michael_wilson@gmail.com,3.88
Michael Wilson,09-03-1996 00:00:00,nc,4928783441,chris.wilson@outlook.com,2.41
"""John Sharma""",'02/15/2003',FL,13400244542,khushi.johnson@gmail.com,3.49
"""Neha Johnson""",08-10-1998 00:00:00,VA,18901585274,khushi.gupta@yahoo.com,3.11
'Neha Davis','03-14-1997 00:00:00',TX,+18823677798,,2.37
'Khushi Wilson',06302004,CA,522-240-4791,nehasharma@outlook.com,
"""Khushi Bhoj""",'12-17-2005 00:00:00',FLORIDA,13252218154,raj.davis@school.edu,3.92
Emily Kumar,'05012002',FL,1736086849,sophia.gupta@gmail.com,3.8
'Neha Sharma',"""05132005""",California,+18820716211,michael_wilson@outlook.com,2.28
John Wilson,'020596',AL,+12401777036,michael.davis@outlook.com,2.17
'John Smith',04/06/1999,HI,193-105-6050,ananyawilson@outlook.com,2.18
John Gupta,'04271999',FL,6588316233,,
Ananya Smith,"""013103""",HI,17958672456,neha_patel@school.edu,
Sophia Patel,040898,CO,18418324922,johndavis@outlook.com,
"""Aarav Davis""",091501,Florida,3631431563,sophia.davis@gmail.com,2.44
Chris Wilson,12-31-1999 00:00:00,,+13073486033,sophia.sharma@outlook.com,2.2
'Ananya Brown','07031995',MI,13216176949,ananya_johnson@yahoo.com,
Khushi Gupta,'102699',IL,+13479690385,rajsharma@school.edu,3.22
